Website,Treatment,FP,FCP,LT,Joules,Trial
35_goo,prefixed,0,420,532,6.7820436,6
35_goo,prefixed,0,189,462,6.5100672,7
35_goo,prefixed,0,331,610,8.070516,8
35_goo,prefixed,0,344,752,10.1582208,9
36_github,prefixed,0,0,2153,11.24838,0
36_github,prefixed,0,599,1354,8.9535564,1
36_github,prefixed,0,209,5329,12.0794112,2
36_github,prefixed,0,408,2102,11.0306556,3
36_github,prefixed,0,404,2210,10.980936,4
36_github,prefixed,0,366,2103,10.38312,5
36_github,prefixed,0,3404,16292,17.234208,6
36_github,prefixed,0,1122,1404,9.659448,7
36_github,prefixed,0,245,2362,11.8331712,8
36_github,prefixed,0,702,1430,9.863964,9
3_youtube,prefixed,0,357,4368,12.129372,0
3_youtube,prefixed,0,444,4363,11.547288,1
3_youtube,prefixed,0,332,4247,11.1880116,2
3_youtube,prefixed,0,352,4438,12.1923,3
3_youtube,prefixed,0,332,4538,11.7387576,4
3_youtube,prefixed,0,345,4518,11.893392,5
3_youtube,prefixed,0,7463,11698,26.58708,6
3_youtube,prefixed,0,606,4861,20.4516,7
3_youtube,prefixed,0,369,6795,20.770992,8
3_youtube,prefixed,0,587,13373,17.77716,9
41_wordpress,prefixed,0,374,523,6.465852,0
41_wordpress,prefixed,0,344,485,6.45012,1
41_wordpress,prefixed,0,368,459,6.575976,2
41_wordpress,prefixed,0,727,741,6.76476,3
41_wordpress,prefixed,0,434,551,6.465852,4
41_wordpress,prefixed,0,342,516,6.4988028,5
41_wordpress,prefixed,0,362,489,6.513048,6
41_wordpress,prefixed,0,997,1009,7.6440024,7
41_wordpress,prefixed,0,1200,1305,8.511012,8
41_wordpress,prefixed,0,4927,7778,16.050312,9
42_vk,prefixed,0,0,1961,8.872848,0
42_vk,prefixed,0,636,1983,9.627984,1
42_vk,prefixed,0,379,2369,9.6144516,2
42_vk,prefixed,0,222,6391,13.296582,3
42_vk,prefixed,0,379,1856,8.8748784,4
42_vk,prefixed,0,420,4353,14.5396944,5
42_vk,prefixed,0,386,6323,11.56302,6
42_vk,prefixed,0,410,2779,10.778886,7
42_vk,prefixed,0,1769,19154,18.555264,8
44_tumblr,prefixed,0,339,771,7.755876,0
44_tumblr,prefixed,0,326,761,7.677216,1
44_tumblr,prefixed,0,324,774,7.834536,2
44_tumblr,prefixed,0,464,909,7.8992712,3
44_tumblr,prefixed,0,2888,5505,16.353792,4
44_tumblr,prefixed,0,313,787,8.18064,5
44_tumblr,prefixed,0,1880,3239,11.673144,6
44_tumblr,prefixed,0,2014,2967,13.513788,7
44_tumblr,prefixed,0,307,740,8.0723628,8
44_tumblr,prefixed,0,528,981,8.070516,9
48_mozilla,prefixed,0,405,605,7.2541116,0
48_mozilla,prefixed,0,2268,2660,10.257264,1
48_mozilla,prefixed,0,5092,5269,10.965204,2
48_mozilla,prefixed,0,480,714,7.346844,3
48_mozilla,prefixed,0,382,590,6.8921928,4
48_mozilla,prefixed,0,484,686,7.002342,5
48_mozilla,prefixed,0,467,859,7.63002,6
48_mozilla,prefixed,0,408,610,8.118198,7
48_mozilla,prefixed,0,5025,5240,10.4956452,8
48_mozilla,prefixed,0,543,742,7.976124,9
49_msn,prefixed,0,352,354,5.537664,0
49_msn,prefixed,0,371,381,5.4389556,1
49_msn,prefixed,0,246,365,5.42754,2
49_msn,prefixed,0,241,356,5.412132,3
49_msn,prefixed,0,973,968,8.9869824,4
49_msn,prefixed,0,869,857,5.6018736,5
49_msn,prefixed,0,563,374,5.521932,6
49_msn,prefixed,0,2584,2591,53.17416,7
49_msn,prefixed,0,679,358,5.0912064,8
49_msn,prefixed,0,903,1168,6.166944,9
4_microsoft,prefixed,0,2808,842,8.57394,0
4_microsoft,prefixed,0,298,764,8.3713392,1
4_microsoft,prefixed,0,526,948,10.5900588,2
4_microsoft,prefixed,0,920,1146,9.785304,3
4_microsoft,prefixed,0,298,913,8.7017868,4
4_microsoft,prefixed,0,1769,2234,12.538404,5
4_microsoft,prefixed,0,1300,2038,12.853044,6
4_microsoft,prefixed,0,431,926,9.20322,7
4_microsoft,prefixed,0,502,838,8.7963192,8
4_microsoft,prefixed,0,1270,2870,18.40644,9
50_google,prefixed,0,549,985,7.23672,0
50_google,prefixed,0,235,1265,7.677216,1
50_google,prefixed,0,235,1342,7.252452,2
50_google,prefixed,0,332,1377,7.55136,3
50_google,prefixed,0,432,1106,7.409772,4
50_google,prefixed,0,428,911,6.937812,5
50_google,prefixed,0,1203,1288,8.7489936,6
50_google,prefixed,0,5327,5739,10.823616,7
50_google,prefixed,0,2646,2761,16.846704,8
52_nytimes,prefixed,0,464,2610,12.003516,0
52_nytimes,prefixed,0,246,2494,12.050712,1
52_nytimes,prefixed,0,5769,10207,18.24912,2
52_nytimes,prefixed,0,740,8138,19.97964,3
52_nytimes,prefixed,0,389,2477,12.4969248,4
52_nytimes,prefixed,0,819,3031,18.0918,5
52_nytimes,prefixed,0,6912,13112,22.18212,6
52_nytimes,prefixed,0,502,6050,15.732,7
52_nytimes,prefixed,0,633,7405,14.756616,8
54_whatsapp,prefixed,0,546,606,6.9079284,0
54_whatsapp,prefixed,0,5095,5113,9.0164988,1
54_whatsapp,prefixed,0,517,524,6.229872,2
54_whatsapp,prefixed,0,350,559,6.3571824,3
54_whatsapp,prefixed,0,5613,5614,10.918008,4
54_whatsapp,prefixed,0,629,779,6.7033656,5
54_whatsapp,prefixed,0,243,823,6.2627688,6
54_whatsapp,prefixed,0,3773,3778,11.8093248,7
54_whatsapp,prefixed,0,1338,1353,7.6894272,8
56_dropbox,prefixed,0,730,949,16.04664,0
56_dropbox,prefixed,0,563,756,10.729224,1
56_dropbox,prefixed,0,1202,781,9.061632,2
56_dropbox,prefixed,0,1500,1695,22.96872,3
56_dropbox,prefixed,0,768,1391,10.1966688,4
56_dropbox,prefixed,0,5090,5311,20.902392,5
56_dropbox,prefixed,0,587,793,10.335924,6
56_dropbox,prefixed,0,631,852,10.634832,7
56_dropbox,prefixed,0,623,842,16.20396,8
56_dropbox,prefixed,0,709,959,15.2163252,9
57_okezone,prefixed,0,563,745,8.133444,0
57_okezone,prefixed,0,699,1086,26.40168,1
57_okezone,prefixed,0,406,859,8.776044,2
57_okezone,prefixed,0,920,5423,22.8114,3
57_okezone,prefixed,0,559,729,8.6526,4
57_okezone,prefixed,0,2073,2199,19.826856,5
57_okezone,prefixed,0,598,1027,16.5186,6
57_okezone,prefixed,0,500,900,10.288728,7
57_okezone,prefixed,0,1683,2109,11.043864,8
58_gravatar,prefixed,0,346,550,6.52878,0
58_gravatar,prefixed,0,633,697,6.9866064,1
58_gravatar,prefixed,0,6878,7106,9.879696,2
58_gravatar,prefixed,0,665,528,5.852304,3
58_gravatar,prefixed,0,382,550,6.245604,4
58_gravatar,prefixed,0,345,555,6.088284,5
58_gravatar,prefixed,0,307,572,6.1054128,6
58_gravatar,prefixed,0,2093,2296,8.8434072,7
58_gravatar,prefixed,0,410,688,7.378308,8
58_gravatar,prefixed,0,518,7175,10.493244,9
59_soundcloud,prefixed,0,431,1415,9.580788,0
59_soundcloud,prefixed,0,7450,8504,14.699322,1
59_soundcloud,prefixed,0,8743,9682,15.4767456,2
59_soundcloud,prefixed,0,1785,2861,11.1093336,3
59_soundcloud,prefixed,0,2057,8261,14.9105232,4
59_soundcloud,prefixed,0,7451,10266,13.453938,5
59_soundcloud,prefixed,0,766,1886,10.1337264,6
59_soundcloud,prefixed,0,629,1531,9.486396,7
59_soundcloud,prefixed,0,676,2283,12.7301004,8
60_europa,prefixed,0,255,362,5.647788,0
60_europa,prefixed,0,424,493,5.8083696,1
60_europa,prefixed,0,428,492,5.6805516,2
60_europa,prefixed,0,284,379,5.6018736,3
60_europa,prefixed,0,2022,2029,8.4776076,4
60_europa,prefixed,0,597,665,6.4509696,5
60_europa,prefixed,0,379,392,5.7749652,6
60_europa,prefixed,0,317,359,6.027714,7
60_europa,prefixed,0,415,491,5.9518656,8
64_apache,prefixed,0,235,517,9.4728312,0
64_apache,prefixed,0,310,497,9.454932,1
64_apache,prefixed,0,700,849,12.1737816,2
64_apache,prefixed,0,971,1122,22.18212,3
64_apache,prefixed,0,204,514,9.1881936,4
