"","Website","Treatment","FP","FCP","LT","Joules","Trial","Joules_kalman","FCP_kalman","LT_kalman"
"58","19_doubleclick","stripped",627.2,627.2,1411,4.436424,4,4.73345518124616,698.765154783526,2210.11174355142
"59","19_doubleclick","stripped",665.2,665.3,1392,4.1856696,5,4.31213699231891,672.233600903211,1814.38571578995
"60","19_doubleclick","stripped",532.7,532.7,1265,4.2643476,6,4.27538073619087,561.609762528857,1548.25319350401
"61","19_doubleclick","stripped",632.2,632.4,1541,4.3125408,7,4.30396165722368,617.733074723289,1544.73824161219
"62","19_doubleclick","stripped",557.7,557.9,1318,4.642002,8,4.56395863682611,570.296726813609,1434.84780127645
"63","19_doubleclick","stripped",590.6,590.6,1058,4.1856696,9,4.27300517787258,586.393394669003,1252.20057567029
"64","22_adobe","stripped",1830.4,1830.5,4862,8.41662,0,6.22285580074617,902.026132726965,2497.21349134092
"65","22_adobe","stripped",902.1,902.1,1817,5.443272,1,6.02454815357123,902.028223176043,2401.47086812558
"66","22_adobe","stripped",720.6,720.7,3053,6.1054128,2,6.05206698119646,892.181577438489,2553.57728370376
"67","22_adobe","stripped",1067.2,1067.2,8660,7.7909868,3,6.70537523733519,905.658026972294,4289.75168171141
"68","22_adobe","stripped",627.2,627.2,1595,4.2014052,4,5.7308473100679,878.942799594299,3455.84918746106
"69","22_adobe","stripped",588.6,588.7,1471,4.1856696,5,5.12175851861484,846.67965435356,2818.24520420807
"70","22_adobe","stripped",743.8,743.9,1550,4.4384544,6,4.85116044152333,834.035445170974,2404.01062390089
"71","22_adobe","stripped",709.6,709.7,1562,4.3597584,7,4.65623110250946,817.616637485713,2126.94440405231
"72","22_adobe","stripped",669.7,669.9,1503,4.6115856,8,4.63851031065094,797.113240436441,1920.95132463225
"73","22_adobe","stripped",832.3,832.5,1665,4.5947952,9,4.62115496072531,802.201123517575,1836.32440065041
"74","29_wordpress","stripped",671.3,671.4,3621,8.414694,0,5.31855843828479,394.068526910387,1635.97632309405
"75","29_wordpress","stripped",589.7,589.8,969,3.77568,1,5.07231851565517,437.233017190347,1616.53645970936
"76","29_wordpress","stripped",490.9,491,1210,4.263372,2,4.88307216244367,455.237166302642,1593.82667360745
"77","29_wordpress","stripped",721.9,722,1354,6.1683552,3,5.236806888342,557.103357777519,1574.8588436555
"78","29_wordpress","stripped",717.8,717.9,1135,6.4058544,4,5.58316394305062,621.311704467741,1531.58711991908
"79","29_wordpress","stripped",511.6,511.7,1200,4.106052,5,5.13035966660422,576.859087427569,1493.85681473735
"80","29_wordpress","stripped",745.1,745.2,1150,9.362682,6,6.4485278273938,645.498489973898,1450.62471892643
"81","29_wordpress","stripped",655.9,656,1362,3.9811068,7,5.67432360951962,649.78845274236,1438.68172795124
"82","29_wordpress","stripped",663.2,663.3,1056,4.231908,8,5.22016402231629,655.311675176204,1384.54430911367
"83","29_wordpress","stripped",488.2,488.3,1225,4.091256,9,4.86413847927325,587.025297169442,1361.18933140536
"84","30_blogspot","stripped",544.4,544.5,652,3.1502304,0,3.45982489800752,338.24601871532,398.331507838691
"85","30_blogspot","stripped",518,518.2,628,5.6962872,1,4.47811771661062,405.962045841259,468.012203560423
"86","30_blogspot","stripped",557.5,557.7,655,3.3888456,2,3.89422831383758,481.048923656031,547.468294501243
"87","30_blogspot","stripped",764.1,764.3,592,3.461832,3,3.65520591706463,629.299131981005,568.063862846692
"88","30_blogspot","stripped",511.7,511.8,607,3.4775676,4,3.55641940087268,567.049902234191,586.485744346619
"89","30_blogspot","stripped",609.3,647.4,743,3.9968424,5,3.80163132591053,609.731444994346,660.997074690968
"90","30_blogspot","stripped",566.8,566.9,648,3.3516828,6,3.55105811549346,586.96634539891,654.799130205899
"91","30_blogspot","stripped",544.5,544.6,630,3.54132,7,3.54563478093721,564.445568833035,642.967652535417
"92","30_blogspot","stripped",559.3,559.5,695,3.2707584,8,3.39254973772026,561.81656757673,667.795024593541
"93","32_bing","stripped",612.2,612.4,627,4.7488896,0,4.21907335374813,418.491551135129,392.578794015917
"94","32_bing","stripped",595.1,595.1,627,4.7049444,1,4.44910070784893,469.50674519353,476.389313720489
"95","32_bing","stripped",1394.1,1394.1,703,2.9922048,2,3.65833742404652,848.633223072413,584.601692784517
"96","32_bing","stripped",564.2,564.2,641,3.1464,3,3.37327880966607,720.805876203819,613.27185598175
"97","32_bing","stripped",593.4,593.5,721,3.335184,4,3.35196226161277,662.106316554471,668.826338675652
"98","32_bing","stripped",524.3,524.4,528,3.0369708,5,3.17553647697007,598.147013149349,595.961808863148
"99","32_bing","stripped",883.3,883.3,636,2.768832,6,2.94770069420105,730.864825486774,616.6938317881
"100","32_bing","stripped",723,723.1,643,2.8953504,7,2.91837302688297,727.248728150122,630.317769615244
"101","33_office","stripped",538.7,538.9,2415,5.1298056,0,4.75337583205299,379.603147192469,1414.52441232752
"102","33_office","stripped",558.6,558.7,2032,5.0196564,1,4.89576368743546,426.311991131589,1521.57861938419
"103","33_office","stripped",599.2,599.3,1741,4.9724496,2,4.9421981401071,492.095044237398,1582.35659867385
"104","33_office","stripped",1108,1108,2030,6.3970632,3,5.83873131929311,752.620858686993,1728.90714303029
"105","33_office","stripped",3977.3,3977.5,5702,7.689276,4,6.98200334959085,2161.4996372833,3117.23407412012
"106","33_office","stripped",593.4,593.5,1584,4.987044,5,5.74905372936143,1469.62655049312,2567.36620904404
"107","33_office","stripped",543.2,543.3,2257,5.6018736,6,5.65808670598915,1059.62886850766,2454.89101674837
"108","33_office","stripped",582.6,582.7,1684,5.11524,7,5.32256900155726,848.335882335521,2174.34758427225
"109","33_office","stripped",602.5,602.6,2403,5.42754,8,5.38744858658677,739.435746294834,2257.70002865436
"110","35_goo","stripped",4390.3,4390.5,7269,9.2640276,0,5.28255608354291,1812.52112370906,3024.8113793822
"111","35_goo","stripped",528.7,528.8,723,3.2959044,1,5.02978615236503,1690.96758188581,2827.56323428811
"112","35_goo","stripped",649.5,649.5,692,3.225798,2,4.68235046236601,1517.91053553067,2502.69470304709
"113","35_goo","stripped",594.4,594.4,3947,7.3485252,3,5.30374311296681,1321.13971564461,2787.70416745444
"114","35_goo","stripped",651.6,651.7,1755,4.5790596,4,5.11811265013385,1159.75190207391,2554.89033271168
"115","35_goo","stripped",987.5,987.5,1515,8.0723628,5,5.91195873299188,1115.50449526367,2303.29441400855
"116","35_goo","stripped",627.2,627.2,630,3.2887404,6,5.18960674456253,985.860294249595,1882.77663114264
"117","35_goo","stripped",501.6,501.7,638,3.6349236,7,4.75608876107839,855.078337358912,1563.46024219464
"118","36_github","stripped",1006.8,1006.9,1848,5.34888,0,4.7190494502425,594.71245191012,1117.21503519215
"119","36_github","stripped",544.4,544.5,1638,4.058856,1,4.44025034259228,586.006834201306,1296.30576508706
"120","36_github","stripped",582.1,582.2,1884,4.6734732,2,4.55510490488207,584.952363197303,1569.39001417302
"121","36_github","stripped",4181.1,4181.1,2022,5.4445176,3,5.00863421809153,1762.27502880715,1794.41979912645
"122","36_github","stripped",545.1,545.2,1861,4.2328764,4,4.60983553194901,1336.98740205725,1828.06078861609
"123","36_github","stripped",1103.3,1173.8,1806,4.642002,5,4.62640305406739,1278.46277427753,1816.87063470657
"124","36_github","stripped",590.5,590.6,1982,4.6892088,6,4.65876596944538,1029.18350250653,1900.7101252326
"125","36_github","stripped",564.5,564.5,1611,4.4531748,7,4.55281661936993,860.074639007068,1753.58491408321
"126","3_youtube","stripped",5869.6,5869.6,8682,11.767536,0,8.19716160060999,2380.25441596429,4318.33552369668
"127","3_youtube","stripped",559.2,559.3,4276,13.520988,1,9.09454635474125,2163.99282205918,4318.28510969198
"128","3_youtube","stripped",620.4,620.5,4236,5.6506608,2,8.22644651493757,1851.81622825661,4318.08949999894
"129","3_youtube","stripped",670.7,670.8,4042,5.8379076,3,7.5193460171559,1554.11887866608,4317.10756367727
