"","Website","Treatment","FP","FCP","LT","Joules","Trial","Joules_kalman","FCP_kalman","LT_kalman"
"1","100_who","prefixed",1661.1,1764.4,2892,10.22346,0,6.94882689176482,1238.7941443442,1755.49206611346
"2","100_who","prefixed",2177.4,3065,3133,6.733296,1,6.91461065818003,1522.2734821364,1910.36264807511
"3","100_who","prefixed",1394.1,1394.1,2175,4.8476736,2,6.44838589403882,1489.82473382044,1961.42713504759
"4","100_who","prefixed",1084.4,1151,2057,7.9779492,3,6.8516725265252,1386.80030025156,1984.57593019776
"5","100_who","prefixed",1106.8,1133.2,2062,6.041088,4,6.62166572624834,1303.65146906117,2005.43980820776
"6","100_who","prefixed",1246.3,1293.1,2482,8.1982476,5,7.08504812953637,1300.08021721227,2140.65961245899
"7","100_who","prefixed",1103.3,1173.8,2224,6.1211484,6,6.7968942778823,1256.7583995891,2164.91050446519
"8","100_who","prefixed",1133.5,1133.6,2159,6.3414468,7,6.65961815686803,1214.2637516725,2163.16921419215
"9","100_who","prefixed",1223.4,1223.5,2339,6.0896772,8,6.48714860541019,1217.45846551549,2215.28681466574
"10","10_linkedin","prefixed",2255.5,2255.5,871,5.380344,0,5.076091489402,1047.36597168932,439.143577051289
"11","10_linkedin","prefixed",829.2,829.3,444,10.2596112,1,6.53388744950791,1038.04092548269,439.17006553279
"12","10_linkedin","prefixed",605.6,749.7,473,3.9127536,2,5.53385817572006,1014.85732951059,439.535469488876
"13","10_linkedin","prefixed",722.5,722.6,426,3.2572692,3,4.58304868604078,982.367142128122,439.31882515191
"14","10_linkedin","prefixed",549.1,549.3,483,3.3516828,4,4.05399959457666,923.977202118381,440.236968745457
"15","10_linkedin","prefixed",636,636.1,469,3.9662784,5,4.01597066216492,880.167211465929,440.979075692612
"16","10_linkedin","prefixed",703.8,703.8,414,3.1313844,6,3.63138647865634,851.159030771197,440.161133627526
"17","10_linkedin","prefixed",480.3,490.5,450,3.3516828,7,3.50967120570529,788.775611445622,440.50103021469
