"","Website","Treatment","FP","FCP","LT","Joules","Trial","Joules_kalman","FCP_kalman","LT_kalman"
"1","100_who","prefixed",0,881,2549,10.4412672,0,7.49740601447122,775.082679388369,1972.04261592912
"2","100_who","prefixed",0,1045,2628,10.965204,1,8.38995609640107,821.418584331478,2074.06227407456
"3","100_who","prefixed",0,878,2238,9.913428,2,8.95773881658098,836.96659328411,2115.63097879688
"4","100_who","prefixed",0,9711,19414,28.47492,3,17.0574627629604,3723.26055687166,7382.32473400983
"5","100_who","prefixed",0,834,2763,10.257264,4,14.1392529867632,2719.33039820411,5866.06365942162
"6","100_who","prefixed",0,4967,13270,18.56376,5,16.0581804427324,3521.28698926758,8374.55944227487
"7","100_who","prefixed",0,1135,2603,11.64168,6,14.1362719555592,2660.72123124603,6392.65535693347
"8","100_who","prefixed",0,12079,18911,18.88272,7,16.2039731550094,6071.9603411708,10716.0230896832
"9","100_who","prefixed",0,4599,4687,14.599296,8,15.5046875911884,5537.5275928335,8628.73781136412
"10","10_linkedin","prefixed",0,549,459,7.205256,0,6.55476898111006,309.679960156567,287.992656360868
"11","10_linkedin","prefixed",0,274,362,7.189524,1,6.89254402834705,303.866887253536,302.0511454838
"12","10_linkedin","prefixed",0,404,391,6.890616,2,6.89138483626472,330.240027326432,328.556381944273
"13","10_linkedin","prefixed",0,1575,1544,8.684064,3,7.98836971591222,721.262030432631,750.882572744902
"14","10_linkedin","prefixed",0,170,341,7.0338132,4,7.40272203879996,535.372931366088,600.095861348643
"15","10_linkedin","prefixed",0,349,318,7.2226404,5,7.29219370285632,470.666266794756,494.047624597919
"16","10_linkedin","prefixed",0,828,796,8.4461508,6,8.00049677413329,596.23902235142,608.502687766154
"17","10_linkedin","prefixed",0,399,370,8.3083968,7,8.18948857174,526.576357723413,517.811842290597
"18","10_linkedin","prefixed",0,1294,1262,9.580788,8,9.04348174522334,798.190634379742,801.132978038309
"19","14_apple","prefixed",0,795,1224,9.8325,0,7.50719551001624,642.329724301177,873.531998294434
"20","14_apple","prefixed",0,1787,2021,12.475476,1,9.36858358072802,1142.14758793468,1381.73044026554
"21","14_apple","prefixed",0,836,1181,8.7928272,2,9.08896528581638,974.419658614626,1270.69780242374
"22","14_apple","prefixed",0,761,1186,8.400888,3,8.73568370838807,852.874281011206,1222.07065007157
"23","14_apple","prefixed",0,1044,1428,9.8032788,4,9.29074980402536,962.482607522644,1341.07663556884
"24","14_apple","prefixed",0,1560,1888,11.830464,5,10.6149893409206,1305.58301643585,1657.50905781745
"25","14_apple","prefixed",0,760,1215,9.470664,6,10.0179329511468,992.232467187687,1401.43470723609
"26","14_apple","prefixed",0,888,1200,10.149462,7,10.0865690299661,932.365045164791,1284.86275063777
"27","14_apple","prefixed",0,1426,1797,9.8662212,8,9.97158052935361,1215.89352621853,1581.24279950585
"28","14_apple","prefixed",0,2731,3075,21.547908,9,16.0127334809921,2086.12448277078,2445.69923613644
"29","15_live","prefixed",0,408,317,6.923664,0,5.96237985139832,295.116353868959,262.197804548995
"30","15_live","prefixed",0,371,377,6.5932164,1,6.37095188578412,340.868173550446,343.362422875717
"31","15_live","prefixed",0,1025,1033,10.3964724,2,9.21259342432804,805.818305933887,865.6080874048
"32","15_live","prefixed",0,1031,1039,12.5856,3,11.610325441639,960.5867125809,997.42098057107
"33","15_live","prefixed",0,411,426,8.243568,4,9.21564372940187,582.441330040228,562.929466338304
"34","15_live","prefixed",0,710,722,9.974088,5,9.7551303582279,670.217895376756,683.883503907993
"35","15_live","prefixed",0,245,392,6.5617452,6,7.48364434843268,377.610963416569,461.94099056205
"36","15_live","prefixed",0,296,307,7.4429388,7,7.45469008506646,321.451620602377,344.12688375254
"37","17_yahoo","prefixed",0,2146,3127,16.20396,0,10.6924582114538,1085.932631034,1646.14689643747
"38","17_yahoo","prefixed",0,629,1412,11.4057,1,10.8526394558697,1006.85220829706,1606.82958936867
"39","17_yahoo","prefixed",0,643,1377,11.924856,2,11.2040091361739,906.211439506696,1544.79303546203
"40","17_yahoo","prefixed",0,5525,6427,18.88272,3,14.0550490229847,2416.56145299979,3109.66929796684
"41","17_yahoo","prefixed",0,2164,2986,14.5660536,4,14.253349935044,2328.39694349111,3067.23686267236
"42","17_yahoo","prefixed",0,590,1508,11.6758152,5,13.2370878051214,1705.52221721958,2517.26997962892
"43","17_yahoo","prefixed",0,565,1476,12.9661344,6,13.1296415459966,1292.56262342286,2145.83426882505
